milage,transmission,brand_cat,age,fuel_cat,ext_col_cat,int_col_cat,hp,accident,price
116226.0,2,1,12,0,1,1,288.0,0,7900.0
37869.0,2,2,4,0,2,2,462.0,0,75950.0
41500.0,3,2,5,1,1,1,369.0,0,86000.0
87001.0,2,2,11,1,3,1,200.0,0,17995.0
4451.0,2,2,2,0,1,1,277.20000000000005,1,55655.0
27158.0,2,2,4,0,2,1,184.8,0,39998.0
139804.0,2,1,10,0,1,3,195.0,1,14500.0
27300.0,2,1,2,0,2,1,285.0,0,47500.0
36812.0,3,2,10,0,1,1,240.0,0,27000.0
144000.0,2,2,8,0,1,1,340.0,1,18000.0
44500.0,2,2,5,0,2,1,237.0,0,28900.0
10917.0,2,2,3,0,1,1,406.56000000000006,0,73998.0
8332.0,2,3,19,0,1,1,400.0,0,47350.0
51247.0,2,1,4,0,3,3,277.20000000000005,0,47698.0
69000.0,3,2,8,0,1,2,550.0,0,36500.0
147834.0,2,1,3,0,1,1,332.64000000000004,0,32662.0
105000.0,2,1,11,0,1,1,300.0,1,6600.0
92203.0,3,2,13,0,2,1,211.0,0,9995.0
15600.0,3,1,14,0,1,1,485.0,0,69500.0
104700.0,2,2,6,0,1,3,349.79901123595505,1,30775.0
72348.0,2,1,14,0,2,3,132.0,1,9995.0
2500.0,2,2,1,1,2,1,835.0,0,94000.0
13177.0,2,2,2,0,1,1,184.8,0,44798.0
96000.0,3,2,8,1,1,2,416.0,1,23000.0
93009.0,2,1,13,0,1,3,489.72,0,22495.0
52750.0,2,2,8,1,1,1,360.0,1,28998.0
25361.0,2,2,4,1,3,1,277.20000000000005,0,49998.0
98527.0,2,2,9,0,1,1,280.0,0,9995.0
1300.0,2,2,1,1,1,3,620.0,0,86900.0
87305.0,2,1,7,0,2,1,303.309640870005,0,9000.0
72922.0,2,2,12,0,1,1,265.0,0,25999.0
41000.0,2,2,9,0,1,1,445.0,0,30000.0
42125.0,2,1,3,0,1,1,231.0,0,27899.0
62000.0,3,2,8,0,1,1,469.0,0,40000.0
153843.0,2,2,18,0,2,1,300.0,1,9950.0
35248.0,2,2,5,0,3,1,277.20000000000005,0,53998.0
194454.0,2,1,9,0,1,1,169.0,0,9888.0
21000.0,3,2,3,0,1,1,383.0,0,89999.0
18494.0,1,2,11,0,1,1,400.0,0,86900.0
218000.0,2,1,18,0,2,3,330.0,0,12990.0
67800.0,2,1,3,0,2,1,400.0,1,36500.0
79000.0,3,2,10,0,2,1,275.0,1,42999.0
24906.0,2,2,2,1,3,1,277.20000000000005,0,63998.0
66840.0,2,1,18,0,1,3,303.0,1,12000.0
86000.0,3,2,11,0,2,1,560.0,0,32000.0
654.0,3,1,1,0,1,1,184.8,0,34599.0
75000.0,2,1,19,0,1,1,240.0,0,12500.0
84000.0,2,2,9,0,1,1,240.0,1,22800.0
52500.0,3,2,7,0,3,3,450.0,0,39999.0
120000.0,2,1,13,0,2,3,288.0,0,7500.0
18665.0,2,3,4,0,1,3,184.8,0,35645.0
19987.0,2,3,8,0,1,2,651.0,0,149900.0
36486.0,2,1,7,0,1,1,420.0,1,23950.0
162100.0,2,1,11,0,1,3,255.0,0,12500.0
13079.0,2,2,2,1,1,1,455.0,0,47000.0
28377.0,2,1,2,0,2,3,369.6,0,36999.0
32744.0,2,1,4,0,1,3,182.0,0,24000.0
54000.0,2,2,12,0,1,3,300.0,1,26000.0
202055.0,2,1,16,0,2,3,236.0,1,8500.0
